molecules,label
O=C(O)c1cccc(C(F)(F)F)c1,238.5
CCCCC(C)(C)C,106.8
C=CCc1cc(C)ccc1O,237.0
CC(C)CCCN,125.0
Cc1cc(C(C)(C)C)cc(C)c1O,248.0
CC=Cc1ccccc1O,220.0
O=S(=O)(Cl)CCCl,201.5
COCC(C)OC(C)=O,145.5
CC(=O)OCC(C)C,116.5
ClCCOCOCCCl,218.0
CC(C)(C)C#N,106.1
CCCCCCOC(=O)CC,190.0
CCOC(=O)c1ccco1,196.8
Clc1ccc(Cl)c(Br)c1,226.0
CCCC(CC)C(C)(C)C,156.1
CN(C)C,2.87
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,309.5
CC(F)(F)C(Cl)(Cl)Cl,73.0
O=Cc1ccccc1Cl,211.9
C[Si](C)(C)C,26.6
CC(F)(F)CC(F)(F)F,40.0
C[C@H](N)Cc1ccccc1,202.999999999999
CCOC(=O)C(C#N)(CC)CC,214.5
Cc1cccc(N)c1,203.3
Nc1cc(Cl)cc(Cl)c1,261.0
O=C(c1ccccc1)c1ccc(Br)cc1,350.0
Cc1cccc(C(=O)Cl)c1,219.5
OC1CCC1,124.0
Nc1c(Br)cc(Br)cc1Br,300.0
CCOC(C)(C)C,73.1
CC(C)C(C)N,85.5
O=CN(c1ccccc1)c1ccccc1,337.5
Cc1coc(C)n1,108.0
CCC(CC)OC(C)=O,133.0
CCSc1ccc(C)cc1,220.0
c1ccc2c(c1)OCO2,172.5
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,278.0
CCc1nc(C)c[nH]1,293.5
CCOC(=O)N(c1ccccc1)c1ccccc1,360.0
c1ccc2c(c1)sc1ccccc12,332.5
ClC(Cl)(Br)Br,150.2
CCC(C)CCC(C)CC,160.8
COc1ccc(C(=O)O)cc1,276.5
ClC(Cl)Br,90.0
COCc1ccco1,132.0
CCCCCCCC/C=C\CCCCCCCC(=O)O,360.0
CCC(O)CN,169.0
C#CCOC,63.0
O=[N+]([O-])CCCl,173.5
CCCB(CCC)CCC,159.0
COc1cc(Cl)cc(OC)c1,234.0
OCc1cccc(F)c1,201.0
CC(O)CCl,127.0
O=C(Cl)OCCl,107.0
CCC(C)(CC(=O)O)CC(=O)O,261.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,159.0
CCCC=C(C)C,95.4
