molecules,pkb
NC(Cc1[nH]c(I)nc1I)C(=O)O,9.76
COc1ccc(-c2cnc(-c3ccc(OC)cc3)o2)cc1,1.41
CCCCc1ccccc1N,4.26
Cc1cnc2c(c1)c(C)c(C)c1cc(C)cnc12,5.54
Cn1ccnc1-c1ccccn1,5.7
c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,7.44
CC(C)Nc1ccccc1,5.67
CCCCc1ccc(C(=O)O)nc1,5.7
Cc1ccc(N)cc1Br,4.02
Cc1ccc(C2=NCCC2)cc1,6.41
CC1CCN2CCC(O)C12,10.92
Clc1cncc(Cl)c1,0.55
Nc1nc(NCO)nc(NCO)n1,4.65
CNC(=O)C1CCCCN1,8.8
CC(N)c1ccccc1,9.36
CCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1CC,2.58
C[Si](C)(C)OC1CN(Cc2ccc(F)cc2)C1,7.91
CN(C)c1ccc([N+](=O)[O-])cc1,0.69
CCCCCCNc1ccccc1,5.21
Cn1cnc2cc(N)ccc21,6.29
Cn1cnc2ccccc21,5.65
Cc1c[nH]c(C)c1C,3.94
COc1c(C)ncc(CO)c1C=O,4.75
OC(c1ccccc1)(c1ccccc1)c1ccccn1,3.9
Cc1ccccc1N=C(N)Nc1ccccc1C,9.67
NCCc1cccc(O)c1O,8.6
c1ccc2c(c1)cnc1ccccc12,4.58
O=[N+]([O-])c1ccc(-n2cnnn2)cc1,-3.92
CC1=CC(=C2C=CC=CC=C2)C=C(C)C1=O,6.26
CC(N)C(O)c1ccc(O)cc1,8.69
CCOC(=O)C1CN2CCC1CC2,9.64
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,8.15
Clc1ccccn1,0.72
O=[N+]([O-])c1cccc2[nH]ncc12,0.42
CCOC(=O)Cc1nc2ccccc2[nH]1,5.7
O=C(CCN1CCOCC1)c1ccccc1,6.5
Nc1cc(O)n(CCCCC(N)C(=O)O)c1O,9.5
COC(=O)C1CSCN1,3.92
ONc1ccccc1,-0.32
O=[N+]([O-])c1ccc2[nH]c(-c3ccccc3)nc2c1,2.95
Nc1ccc(-c2ccc(N=Cc3ccccc3O)cc2)cc1,7.68
CCN(CC)c1ccc(C)cc1,7.18
CNC(=O)c1ccncc1,3.8
Nc1ccc(Br)cc1Br,2.3
NCc1cc(N)cc(Cl)c1,9.54
O=C(O)C1OC(Oc2ccc3cccnc3c2)C(O)C(O)C1O,5.32
Cc1ccc(S(=O)(=O)NCCC(=N)N(C)C)cc1,11.4
CCCCCCNCc1ccc(C)cc1,10.17
Nc1c[nH]c(=S)nc1N,10.39
CCCCOC(=O)c1ccc(N)cc1,2.47
Cc1nc2cc(N)ccc2[nH]1,6.95
Cc1ncc(CO)c(CO)c1O,4.96
NCc1ccc(F)c(O)c1,10.04
COc1ccc2ccc(OC)c(N3CCOCC3)c2c1N1CCOCC1,13.0
Cc1ccc(N)cc1,5.04
CN(C)C=Nc1ccc(Br)cc1,8.1
Nc1cc(C=Cc2ccccc2)nc2ccccc12,9.3
Nc1ccc(O)cc1,5.54
CCNc1nc(NCC)nc(NCC)n1,5.84
COc1ccccn1,3.34
Cc1ccc(CNCCN)cc1,9.41
NC(Cc1c[nH]cn1)C(=O)NCC(=O)O,7.82
O=c1cc[nH]cn1,8.59
c1ccc(-c2cc3c(-c4ccccc4)ccnc3c3ncccc23)cc1,4.69
CC(=O)N1CCNc2ncnc(C)c21,5.26
CCCCNc1cc[nH]c(=O)n1,4.69
NCc1ccccc1O,8.89
CNc1cccc2ccccc12,3.7
Cc1ccc(NCO)cc1,3.42
CC1CCCC(C)(C)N1,11.27
Cc1nc2cccnc2[nH]1,4.6
c1ccc(-n2cnnn2)cc1,-3.41
Cc1nc2ccccc2[nH]1,6.3
CCCCCCCNc1ccccc1,5.09
Cc1cnnc(C)c1,4.11
CCn1cncn1,2.39
c1ccc(NC2CCCCC2)cc1,5.6
CCCCN(CCCC)c1ccccc1,6.41
Cc1cc[nH]n1,3.66
Cc1ccccc1C(=NCCCN(C)C)c1ccc2ccccc2c1,8.9
CC(C)(C)c1ccc(N)cc1,4.95
COc1ccc(OC)c2c1nc(C)n2C,6.12
CCn1nc(-c2ccccc2)sc1=N,6.1
CC(=O)c1ccccn1,-0.46
Nc1ccc2cc([N+](=O)[O-])ccc2c1,2.9
c1csc(C2CCCN2)c1,9.35
NCCC[n+]1cc(Br)c2ccccc2c1,9.53
COc1cc(S(N)(=O)=O)cc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC,8.87
c1ccc2cnccc2c1,5.36
Nc1cc[nH]n1,4.11
Cn1c(-c2ccccn2)nc2ccccc21,4.47
Nc1nc(=O)c2[nH]cnc2[nH]1,12.3
O=C1C=C2C=CC=CC2N=N1,8.61
Cc1ccc(OC(=O)CCCCN(C)C)cc1,9.87
CCOCCn1c(CN2CCN(CCCCn3cccn3)CC2)nc2ccccc21,7.9
N#CC(C#N)N=Nc1cccc(Cl)c1,-0.78
Nc1ccc(N=Nc2ccccc2)cc1,2.82
N#Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,6.5
Nc1cccc2ccc3ncccc3c12,5.03
Clc1ccc(CNc2ncnc3[nH]ncc23)cc1,3.96
COc1cccc(C(=N)c2ccccc2)c1,6.59
COc1ccc(-c2cnc(-c3ccc(N)cc3)o2)cc1,3.22
O=Cc1ccncc1,4.63
CC(=O)N(N)C1CCN(C)CC1,8.7
C[Si](C)(C)CNc1ccccc1,5.3
CCOc1ccc2[nH]c(CC)nc2c1,6.27
COc1c(Br)cccc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.73
CCc1ccc(N)cc1,5.16
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1,0.9
O=C(O)C1OC(Oc2cccc3cccnc23)C(O)C(O)C1O,4.62
Cc1cn2nc(-c3ccccc3)cc(C)c2n1,5.3
Nc1cc(-c2ccccc2)nc2ccccc12,8.2
c1ccc(Oc2ccccn2)cc1,2.35
